InstrumentCode,InstrumentName,post_name,guid,post_date,category,post_status,post_status.1,Year,raw_category,document_type,classification_status,Migrate,Naming Convention,Folder_Name
SGJ,SCOTIA GROUP JAMAICA LIMITED,scotia-group-jamaica-limited-notice-re-supreme-court-to-hear-claim-no-su-2021-cd-00005-on-february-19-2021,https://www.jamstockex.com/wp-content/uploads/2021/02/Scotia-Group-Jamaica-Limited-Notice-re-Supreme-Court-to-Hear-Claim-No.-SU-2021-CD-00005-on-February-19-2021.pdf,1/2/2021 16:34,"General Meetings (AGM’s, Extra-Ordinary or Other Shareholders Meetings),Articles",inherit,publish,2021,,other_company_news,pending,Yes,company_name - symbol - other_company_news - Posting Date,other_company_news_new
JSE,JAMAICA STOCK EXCHANGE,jamaica-60-diaspora-conference,https://www.jamstockex.com/wp-content/uploads/2022/06/Jamaica-60-Diaspora-Conference.pdf,10/6/2022 10:57,General,inherit,publish,2022,{document_type: Other},jse_event_news,success,Yes,jse_event_news - Posting Date,jse_event_news_new
JSE,JAMAICA STOCK EXCHANGE,registration-and-payment-options-annual-corporate-secretarys-workshop-20-may-2022,https://www.jamstockex.com/wp-content/uploads/2022/05/Registration-and-Payment-Options-Annual-Corporate-Secretarys-Workshop-20-May-2022.pdf,10/5/2022 18:13,General,inherit,publish,2022,{document_type: Other},jse_event_news,success,Yes,jse_event_news - Posting Date,jse_event_news_new
GK,GRACEKENNEDY LIMITED,news-release-gk100-launched-15012022,https://www.jamstockex.com/wp-content/uploads/2022/01/News-Release-GK100-LAUNCHED-15012022.pdf,15/1/2022 12:39,Articles,inherit,publish,2022,{document_type: Other Company News},other_company_news,success,Yes,company_name - symbol - other_company_news - Posting Date,other_company_news_new
CCC,CARIBBEAN CEMENT COMPANY LTD.,disclosure-execution-of-services-i-p-agreements,https://www.jamstockex.com/wp-content/uploads/2022/01/Disclosure-Execution-of-Services-I.P.-Agreements.pdf,26/1/2022 15:33,Articles,inherit,publish,2022,{document_type: Other Company News},other_company_news,success,Yes,company_name - symbol - other_company_news - Posting Date,other_company_news_new
138SL,138 STUDENT LIVING JAMAICA LIMITED,138-student-living-jamaica-limited-138-sl-notice-of-proceedings-for-newspaper,https://www.jamstockex.com/wp-content/uploads/2021/04/138-Student-Living-Jamaica-Limited-138-SL-Notice-of-Proceedings-for-Newspaper.pdf,1/4/2021 8:48,Articles,inherit,publish,2021,{document_type: General Meetings},general_meetings,success,Yes,company_name - symbol- general_meetings - Posting Date,general_meetings_new
138SL,138 STUDENT LIVING JAMAICA LIMITED,agm-cover-letter-2024,https://www.jamstockex.com/wp-content/uploads/2024/01/AGM-Cover-Letter-2024.pdf,30/1/2024 19:18,"General Meetings (AGM’s, Extra-Ordinary or Other Shareholders Meetings)",inherit,publish,2024,{document_type: General Meetings},other_company_news,success,Yes,company_name - symbol - other_company_news - Posting Date,other_company_news_new
138SL,138 STUDENT LIVING JAMAICA LIMITED,agm-cover-letter-2024,https://www.jamstockex.com/wp-content/uploads/2024/01/AGM-Cover-Letter-2024.pdf,30/1/2024 19:18,"General Meetings (AGM’s, Extra-Ordinary or Other Shareholders Meetings)",inherit,publish,2024,{document_type: General Meetings},general_meetings,success,Yes,company_name - symbol- general_meetings - Posting Date,general_meetings_new
138SL,138 STUDENT LIVING JAMAICA LIMITED,agm-letter-to-shareholders-2025-138sl-2,https://www.jamstockex.com/wp-content/uploads/2025/02/AGM-Letter-to-Shareholders-2025-138SL-1.pdf,20/2/2025 16:06,"General Meetings (AGM’s,General Meetings (AGM’s, Extra-Ordinary or Other Shareholders Meetings)",inherit,publish,2025,{document_type: General Meetings},other_company_news,success,Yes,company_name - symbol - other_company_news - Posting Date,other_company_news_new
138SL,138 STUDENT LIVING JAMAICA LIMITED,agm-letter-to-shareholders-2025-138sl-2,https://www.jamstockex.com/wp-content/uploads/2025/02/AGM-Letter-to-Shareholders-2025-138SL-1.pdf,20/2/2025 16:06,"General Meetings (AGM’s,General Meetings (AGM’s, Extra-Ordinary or Other Shareholders Meetings)",inherit,publish,2025,{document_type: General Meetings},general_meetings,success,Yes,company_name - symbol- general_meetings - Posting Date,general_meetings_new
1834,1834 INVESTMENTS LIMITED,rjr-gleaner-notice-to-shareholders,https://www.jamstockex.com/wp-content/uploads/2015/12/RJR-GLEANER-Notice-to-Shareholders.pdf,4/12/2015 9:19,"General Meetings (AGM’s, Extra-Ordinary or Other Shareholders Meetings),Articles",inherit,publish,2015,{document_type: General Meetings},other_company_news,success,Yes,company_name - symbol - other_company_news - Posting Date,other_company_news_new
1834,1834 INVESTMENTS LIMITED,rjr-gleaner-notice-to-shareholders,https://www.jamstockex.com/wp-content/uploads/2015/12/RJR-GLEANER-Notice-to-Shareholders.pdf,4/12/2015 9:19,"General Meetings (AGM’s, Extra-Ordinary or Other Shareholders Meetings),Articles",inherit,publish,2015,{document_type: General Meetings},general_meetings,success,Yes,company_name - symbol- general_meetings - Posting Date,general_meetings_new
1834,1834 INVESTMENTS LIMITED,glnr-notice-to-shareholders-on-synergies,https://www.jamstockex.com/wp-content/uploads/2015/12/GLNR-Notice-to-Shareholders-on-Synergies.pdf,11/12/2015 13:35,Articles,inherit,publish,2015,{document_type: Acquisitions and Disposals},other_company_news,success,Yes,company_name - symbol - other_company_news - Posting Date,other_company_news_new
1834,1834 INVESTMENTS LIMITED,glnr-notice-to-shareholders-on-synergies,https://www.jamstockex.com/wp-content/uploads/2015/12/GLNR-Notice-to-Shareholders-on-Synergies.pdf,11/12/2015 13:35,Articles,inherit,publish,2015,{document_type: Acquisitions and Disposals},acquisitions_mergers_and_disposals,success,Yes,company_name - symbol - acquisitions_mergers_and_disposals - Posting Date,acquisitions_mergers_and_disposals_new
AFS,ACCESS FINANCIAL SERVICES LIMITED,press-release-access-financial-services-limited-announces-acquisition-of-micro-credit-limited,https://www.jamstockex.com/wp-content/uploads/2017/06/Press-Release-Access-Financial-Services-Limited-Announces-Acquisition-of-Micro-Credit-Limited.pdf,20/6/2017 14:00,Articles,inherit,publish,2017,{document_type: Acquisitions and Disposals},acquisitions_mergers_and_disposals,success,Yes,company_name - symbol - acquisitions_mergers_and_disposals - Posting Date,acquisitions_mergers_and_disposals_new
AFS,ACCESS FINANCIAL SERVICES LIMITED,press-release-access-financial-services-limited-afs-appoints-new-chairman-board-members-and-makes-changes-to-its-senior-leadership-structure,https://www.jamstockex.com/wp-content/uploads/2020/06/Press-Release-Access-Financial-Services-Limited-AFS-Appoints-New-Chairman-Board-Members-and-Makes-Changes-to-its-Senior-Leadership-Structure.pdf,1/7/2020 12:31,"Articles,Change in Management,Appointments",inherit,publish,2020,"{document_type: Appointments, Resignations and Retirements [Director]}",management_appointments_resignations_and_retirements,success,Yes,company_name - symbol   - management_appointments_resignations_and_retirements - Posting Date,management_appointments_resignations_and_retirements_new
AFS,ACCESS FINANCIAL SERVICES LIMITED,press-release-access-financial-services-limited-afs-appoints-new-chairman-board-members-and-makes-changes-to-its-senior-leadership-structure,https://www.jamstockex.com/wp-content/uploads/2020/06/Press-Release-Access-Financial-Services-Limited-AFS-Appoints-New-Chairman-Board-Members-and-Makes-Changes-to-its-Senior-Leadership-Structure.pdf,1/7/2020 12:31,"Articles,Change in Management,Appointments",inherit,publish,2020,"{document_type: Appointments, Resignations and Retirements [Director]}",director_appointments_resignations_and_retirements,success,Yes,company_name - symbol  - director_appointments_resignations_and_retirements - Posting Date,director_appointments_resignations_and_retirements_new
AFS,ACCESS FINANCIAL SERVICES LIMITED,amendment-to-articles-of-incorporation_,https://www.jamstockex.com/wp-content/uploads/2021/10/Amendment-to-Articles-of-Incorporation_.pdf,13/10/2021 15:35,"Articles,General Meetings (AGM’s, Extra-Ordinary or Other Shareholders Meetings)",inherit,publish,2021,{document_type: General Meetings},Articles,success,Yes,company_name - symbol - articles - Posting Date,articles_new
AFS,ACCESS FINANCIAL SERVICES LIMITED,amendment-to-articles-of-incorporation_,https://www.jamstockex.com/wp-content/uploads/2021/10/Amendment-to-Articles-of-Incorporation_.pdf,13/10/2021 15:35,"Articles,General Meetings (AGM’s, Extra-Ordinary or Other Shareholders Meetings)",inherit,publish,2021,{document_type: General Meetings},general_meetings,success,Yes,company_name - symbol- general_meetings - Posting Date,general_meetings_new
ASBH,A.S. BRYDEN & SONS HOLDINGS LIMITED,seprod-limited-press-release,https://www.jamstockex.com/wp-content/uploads/2025/05/Seprod-Limited-Press-Release.pdf,2/5/2025 16:23,"Other Company News,Acquisitions",inherit,publish,2025,{document_type: Acquisitions and Disposals},takeover_bids_and_scheme_of_arrangements,success,Yes,company_name - symbol - takeover_bids_and_scheme_of_arrangements - Posting Date,takeover_bids_and_scheme_of_arrangements_new
BIL,BARITA INVESTMENTS LIMITED,news-release-barita-investments-limited-bil-take-over-bid-from-cornerstone-investments-holdings-limited-2,https://www.jamstockex.com/wp-content/uploads/2018/07/News-Release-Barita-Investments-Limited-BIL-Take-Over-Bid-from-Cornerstone-Investments-Holdings-Limited-1.pdf,20/7/2018 8:40,"Take-over Bid Circular​,Articles",inherit,publish,2018,{document_type: Acquisitions and Disposals},takeover_bids_and_scheme_of_arrangements,success,Yes,company_name - symbol - takeover_bids_and_scheme_of_arrangements - Posting Date,takeover_bids_and_scheme_of_arrangements_new
BIL,BARITA INVESTMENTS LIMITED,barita-investments-limited-bil-notice-to-shareholders,https://www.jamstockex.com/wp-content/uploads/2018/12/Barita-Investments-Limited-BIL-Notice-to-Shareholders.pdf,21/12/2018 15:40,"General Meetings (AGM’s, Extra-Ordinary or Other Shareholders Meetings),Articles",inherit,publish,2018,,rights_issue,classification_failed,Yes,company_name - symbol - rights_issue - Posting Date,rights_issue_new
BIL,BARITA INVESTMENTS LIMITED,barita-investments-limited-bil-rights-issue-upsized-notice,https://www.jamstockex.com/wp-content/uploads/2019/09/Barita-Investments-Limited-BIL-Rights-Issue-Upsized-Notice.pdf,11/9/2019 9:24,"Articles,Rights Issue (Circulars &amp; Documents)",inherit,publish,2019,{document_type: Other Company News},other_company_news,success,Yes,company_name - symbol - other_company_news - Posting Date,other_company_news_new
BIL,BARITA INVESTMENTS LIMITED,barita-investments-limited-bil-rights-issue-upsized-notice,https://www.jamstockex.com/wp-content/uploads/2019/09/Barita-Investments-Limited-BIL-Rights-Issue-Upsized-Notice.pdf,11/9/2019 9:24,"Articles,Rights Issue (Circulars &amp; Documents)",inherit,publish,2019,{document_type: Other Company News},rights_issue,success,Yes,company_name - symbol - rights_issue - Posting Date,rights_issue_new
BIL,BARITA INVESTMENTS LIMITED,barita-management-changes,https://www.jamstockex.com/wp-content/uploads/2019/12/Barita-Management-Changes.pdf,19/12/2019 17:03,"Articles,Change in Management",inherit,publish,2019,"{document_type: Appointments, Resignations and Retirements [Management]}",management_appointments_resignations_and_retirements,success,Yes,company_name - symbol   - management_appointments_resignations_and_retirements - Posting Date,management_appointments_resignations_and_retirements_new
BIL,BARITA INVESTMENTS LIMITED,barita-management-changes,https://www.jamstockex.com/wp-content/uploads/2019/12/Barita-Management-Changes.pdf,19/12/2019 17:03,"Articles,Change in Management",inherit,publish,2019,"{document_type: Appointments, Resignations and Retirements [Management]}",director_appointments_resignations_and_retirements,success,Yes,company_name - symbol  - director_appointments_resignations_and_retirements - Posting Date,director_appointments_resignations_and_retirements_new
BIL,BARITA INVESTMENTS LIMITED,barita-schedule-to-notice-of-agm-7-2,https://www.jamstockex.com/wp-content/uploads/2022/05/Barita-Schedule-to-Notice-of-AGM-7-1.pdf,16/5/2022 19:03,"agm,Annual Reports",inherit,publish,2022,{document_type: General Meetings},articles,success,Yes,company_name - symbol - articles - Posting Date,articles_new
BIL,BARITA INVESTMENTS LIMITED,bond-upsize-notice,https://www.jamstockex.com/wp-content/uploads/2025/05/Bond-Upsize-Notice.pdf,16/5/2025 10:40,"Articles,General",inherit,publish,2025,{document_type: Other Company News},other_company_news,success,Yes,company_name - symbol - other_company_news - Posting Date,other_company_news_new
BIL,BARITA INVESTMENTS LIMITED,bond-upsize-notice,https://www.jamstockex.com/wp-content/uploads/2025/05/Bond-Upsize-Notice.pdf,16/5/2025 10:40,"Articles,General",inherit,publish,2025,{document_type: Other Company News},prospectus,success,Yes,company_name - symbol - prospectus - Posting Date,prospectus_new
SGJ,SCOTIA GROUP JAMAICA LIMITED,doc01821920161123102558,https://www.jamstockex.com/wp-content/uploads/2006/10/doc01821920161123102558.pdf,23/11/2016 10:59,"Acquisitions,Articles",inherit,publish,2016,{document_type: Acquisitions and Disposals},takeover_bids_and_scheme_of_arrangements,success,Yes,company_name - symbol - takeover_bids_and_scheme_of_arrangements - Posting Date,takeover_bids_and_scheme_of_arrangements_new
BRG,BERGER PAINTS JAMAICA LTD.,berger-paints-jamaica-limited-brg-share-transfer,https://www.jamstockex.com/wp-content/uploads/2018/11/Berger-Paints-Jamaica-Limited-BRG-Share-Transfer.pdf,16/11/2018 16:26,"Articles,Acquisitions",inherit,publish,2018,{document_type: Trading in Shares},other_company_news,success,Yes,company_name - symbol - other_company_news - Posting Date,other_company_news_new
CCC,CARIBBEAN CEMENT COMPANY LTD.,caribbean-cement-company-advisory,https://www.jamstockex.com/wp-content/uploads/2017/01/Caribbean-Cement-Company-Advisory.pdf,27/1/2017 16:41,"Change in Management,Articles",inherit,publish,2017,{document_type: Acquisitions and Disposals},takeover_bids_and_scheme_of_arrangements,success,Yes,company_name - symbol - takeover_bids_and_scheme_of_arrangements - Posting Date,takeover_bids_and_scheme_of_arrangements_new
CCC,CARIBBEAN CEMENT COMPANY LTD.,notice-to-shareholders-caribbean-cement-company-limiteds-annual-report-for-the-year-ended-december-31-2019-postponement-of-annual-general-meeting,https://www.jamstockex.com/wp-content/uploads/2020/05/Notice-to-Shareholders-Caribbean-Cement-Company-Limiteds-Annual-Report-for-The-Year-Ended-December-31-2019-Postponement-of-Annual-General-Meeting.pdf,21/5/2020 16:35,"Articles,Annual Reports,General Meetings (AGM’s, Extra-Ordinary or Other Shareholders Meetings)",inherit,publish,2020,{document_type: General Meetings},other_company_news,success,Yes,company_name - symbol - other_company_news - Posting Date,other_company_news_new
CCC,CARIBBEAN CEMENT COMPANY LTD.,notice-to-shareholders-caribbean-cement-company-limiteds-annual-report-for-the-year-ended-december-31-2019-postponement-of-annual-general-meeting,https://www.jamstockex.com/wp-content/uploads/2020/05/Notice-to-Shareholders-Caribbean-Cement-Company-Limiteds-Annual-Report-for-The-Year-Ended-December-31-2019-Postponement-of-Annual-General-Meeting.pdf,21/5/2020 16:35,"Articles,Annual Reports,General Meetings (AGM’s, Extra-Ordinary or Other Shareholders Meetings)",inherit,publish,2020,{document_type: General Meetings},general_meetings,success,Yes,company_name - symbol- general_meetings - Posting Date,general_meetings_new
CCC,CARIBBEAN CEMENT COMPANY LTD.,notice-to-shareholders-record-date-annual-report-for-year-ended-december-31-2020,https://www.jamstockex.com/wp-content/uploads/2021/11/Notice-to-Shareholders-Record-Date-Annual-Report-for-year-ended-December-31-2020.pdf,12/11/2021 14:33,Articles,inherit,publish,2021,{document_type: General Meetings},general_meetings,success,Yes,company_name - symbol- general_meetings - Posting Date,general_meetings_new
CCC,CARIBBEAN CEMENT COMPANY LTD.,notice-to-shareholders-record-date-annual-report-for-year-ended-december-31-2020,https://www.jamstockex.com/wp-content/uploads/2021/11/Notice-to-Shareholders-Record-Date-Annual-Report-for-year-ended-December-31-2020.pdf,12/11/2021 14:33,Articles,inherit,publish,2021,{document_type: General Meetings},other_company_news,success,Yes,company_name - symbol - other_company_news - Posting Date,other_company_news_new
CFF,CARIBBEAN FLAVOURS & FRAGRANCES LIMITED,final-derrimon-press-announcement-of-results,https://www.jamstockex.com/wp-content/uploads/2017/02/Final-DERRIMON-PRESS-ANNOUNCEMENT-OF-RESULTS.pdf,15/2/2017 9:12,"Stock Market Game News,Articles",inherit,publish,2017,{document_type: Acquisitions and Disposals},takeover_bids_and_scheme_of_arrangements,success,Yes,company_name - symbol - takeover_bids_and_scheme_of_arrangements - Posting Date,takeover_bids_and_scheme_of_arrangements_new
CPFV,EPPLEY CARIBBEAN PROPERTY FUND LIMITED SCC,news-release-eppley-caribbean-property-fund-limited-scc-cpfv-acquires-kpmg-head-office-in-barbados,https://www.jamstockex.com/wp-content/uploads/2019/11/News-Release-Eppley-Caribbean-Property-Fund-Limited-SCC-CPFV-Acquires-KPMG-Head-Office-in-Barbados.pdf,27/11/2019 15:54,"Articles,Acquisitions",inherit,publish,2019,{document_type: Acquisitions and Disposals},acquisitions_mergers_and_disposals,success,Yes,company_name - symbol - acquisitions_mergers_and_disposals - Posting Date,acquisitions_mergers_and_disposals_new
CPJ,CARIBBEAN PRODUCERS JAMAICA LIMITED,notice-cpj-announces-an-increase-in-ownership-stake-by-asbh,https://www.jamstockex.com/wp-content/uploads/2025/01/Notice-CPJ-Announces-an-increase-in-Ownership-Stake-by-ASBH.pdf,7/1/2025 16:10,Articles,inherit,publish,2025,{document_type: Acquisitions and Disposals},takeover_bids_and_scheme_of_arrangements,success,Yes,company_name - symbol - takeover_bids_and_scheme_of_arrangements - Posting Date,takeover_bids_and_scheme_of_arrangements_new
DCOVE,DOLPHIN COVE LIMITED,project-columbus-announcement-of-results-final-dolphin-cove,https://www.jamstockex.com/wp-content/uploads/2016/01/Project-Columbus-Announcement-of-Results-Final-DOLPHIN-COVE.pdf,15/1/2016 16:47,Articles,inherit,publish,2016,{document_type: Acquisitions and Disposals},takeover_bids_and_scheme_of_arrangements,success,Yes,company_name - symbol - takeover_bids_and_scheme_of_arrangements - Posting Date,takeover_bids_and_scheme_of_arrangements_new
DCOVE,DOLPHIN COVE LIMITED,dolphin-cove-press-announcement-re-takeover-of-dolphin-cove-limited,https://www.jamstockex.com/wp-content/uploads/2016/01/Dolphin-Cove-Press-Announcement-re-Takeover-of-Dolphin-Cove-Limited.pdf,18/1/2016 12:17,"Articles,Take-over Bid Circular​",inherit,pending,2016,{document_type: Acquisitions and Disposals},takeover_bids_and_scheme_of_arrangements,success,Yes,company_name - symbol - takeover_bids_and_scheme_of_arrangements - Posting Date,takeover_bids_and_scheme_of_arrangements_new
DTL,DERRIMON TRADING COMPANY LIMITED,derrimon-announcement,https://www.jamstockex.com/wp-content/uploads/2016/12/DERRIMON-ANNOUNCEMENT.pdf,22/12/2016 9:15,Articles,inherit,publish,2016,{document_type: Acquisitions and Disposals},takeover_bids_and_scheme_of_arrangements,success,Yes,company_name - symbol - takeover_bids_and_scheme_of_arrangements - Posting Date,takeover_bids_and_scheme_of_arrangements_new
DTL,DERRIMON TRADING COMPANY LIMITED,final-derrimon-press-announcement-of-results,https://www.jamstockex.com/wp-content/uploads/2017/02/Final-DERRIMON-PRESS-ANNOUNCEMENT-OF-RESULTS.pdf,15/2/2017 9:12,"Articles,Stock Market Game News",inherit,publish,2017,{document_type: Acquisitions and Disposals},takeover_bids_and_scheme_of_arrangements,success,Yes,company_name - symbol - takeover_bids_and_scheme_of_arrangements - Posting Date,takeover_bids_and_scheme_of_arrangements_new
DTL,DERRIMON TRADING COMPANY LIMITED,press-release-derrimon-trading-company-ltd,https://www.jamstockex.com/wp-content/uploads/2018/08/Press-Release-Derrimon-Trading-Company-Ltd.pdf,10/8/2018 10:27,"Acquisitions,Articles",inherit,publish,2018,,acquisitions_mergers_and_disposals,classification_failed,Yes,company_name - symbol - acquisitions_mergers_and_disposals - Posting Date,acquisitions_mergers_and_disposals_new
DTL,DERRIMON TRADING COMPANY LIMITED,derrimon-trading-company-limited-2,https://www.jamstockex.com/wp-content/uploads/2018/09/Derrimon-Trading-Company-Limited.pdf,10/9/2018 16:03,"Change in Management,Acquisitions,Articles",inherit,publish,2018,{document_type: Acquisitions and Disposals},acquisitions_mergers_and_disposals,success,Yes,company_name - symbol - acquisitions_mergers_and_disposals - Posting Date,acquisitions_mergers_and_disposals_new
DTL,DERRIMON TRADING COMPANY LIMITED,dtl-announcement-of-acquisitions-2021,https://www.jamstockex.com/wp-content/uploads/2021/01/DTL-Announcement-of-Acquisitions-2021.pdf,8/1/2021 16:18,"Articles,Acquisitions",inherit,publish,2021,{document_type: Acquisitions and Disposals},takeover_bids_and_scheme_of_arrangements,success,Yes,company_name - symbol - takeover_bids_and_scheme_of_arrangements - Posting Date,takeover_bids_and_scheme_of_arrangements_new
EFRESH,EVERYTHING FRESH LIMITED,news-release-everything-fresh-limiteds-acquisition-of-the-meat-experts,https://www.jamstockex.com/wp-content/uploads/2019/02/News-Release-Everything-Fresh-Limiteds-Acquisition-of-The-Meat-Experts.pdf,11/2/2019 16:33,"Acquisitions,Articles",inherit,publish,2019,{document_type: Acquisitions and Disposals},acquisitions_mergers_and_disposals,success,Yes,company_name - symbol - acquisitions_mergers_and_disposals - Posting Date,acquisitions_mergers_and_disposals_new
EFRESH,EVERYTHING FRESH LIMITED,agm-efresh-cover-letter-2022,https://www.jamstockex.com/wp-content/uploads/2022/09/AGM-EFRESH-Cover-letter-2022.pdf,12/9/2022 17:35,"General Meetings (AGM’s, Extra-Ordinary or Other Shareholders Meetings)",inherit,publish,2022,{document_type: General Meetings},other_company_news,success,Yes,company_name - symbol - other_company_news - Posting Date,other_company_news_new
EFRESH,EVERYTHING FRESH LIMITED,agm-efresh-cover-letter-2022,https://www.jamstockex.com/wp-content/uploads/2022/09/AGM-EFRESH-Cover-letter-2022.pdf,12/9/2022 17:35,"General Meetings (AGM’s, Extra-Ordinary or Other Shareholders Meetings)",inherit,publish,2022,{document_type: General Meetings},general_meetings,success,Yes,company_name - symbol- general_meetings - Posting Date,general_meetings_new
EFRESH,EVERYTHING FRESH LIMITED,shareholders-letter-final,https://www.jamstockex.com/wp-content/uploads/2023/09/Shareholders-Letter-final.pdf,29/9/2023 19:51,"General Meetings (AGM’s, Extra-Ordinary or Other Shareholders Meetings)",inherit,publish,2023,{document_type: Annual Report},general_meetings,success,Yes,company_name - symbol- general_meetings - Posting Date,general_meetings_new
EFRESH,EVERYTHING FRESH LIMITED,shareholders-letter-final,https://www.jamstockex.com/wp-content/uploads/2023/09/Shareholders-Letter-final.pdf,29/9/2023 19:51,"General Meetings (AGM’s, Extra-Ordinary or Other Shareholders Meetings)",inherit,publish,2023,{document_type: Annual Report},other_company_news,success,Yes,company_name - symbol - other_company_news - Posting Date,other_company_news_new
EFRESH,EVERYTHING FRESH LIMITED,agm-efresh-shareholders-cover-letter-2024,https://www.jamstockex.com/wp-content/uploads/2024/10/AGM-EFRESH-Shareholders-Cover-letter-2024.pdf,3/10/2024 16:28,"General Meetings (AGM’s, Extra-Ordinary or Other Shareholders Meetings),General Meetings (AGM’s",inherit,publish,2024,{document_type: General Meetings},general_meetings,success,Yes,company_name - symbol- general_meetings - Posting Date,general_meetings_new
EFRESH,EVERYTHING FRESH LIMITED,agm-efresh-shareholders-cover-letter-2024,https://www.jamstockex.com/wp-content/uploads/2024/10/AGM-EFRESH-Shareholders-Cover-letter-2024.pdf,3/10/2024 16:28,"General Meetings (AGM’s, Extra-Ordinary or Other Shareholders Meetings),General Meetings (AGM’s",inherit,publish,2024,{document_type: General Meetings},other_company_news,success,Yes,company_name - symbol - other_company_news - Posting Date,other_company_news_new
EPLY,EPPLEY LIMITED,press-release-eppley-limited-redemption-of-preference-shares,https://www.jamstockex.com/wp-content/uploads/2018/11/Press-Release-Eppley-limited-Redemption-of-Preference-Shares.pdf,28/11/2018 9:22,"General,Articles",inherit,publish,2018,{document_type: Trading in Shares},delisting_notice,success,Yes,company_name - symbol - delisting_notice - Posting Date,delisting_notice_new
EPLY,EPPLEY LIMITED,jse-material-information-disclosure-notice-eppley-limiteds-tender-offer-jan-24-2023,https://www.jamstockex.com/wp-content/uploads/2023/01/JSE-Material-Information-Disclosure-Notice-Eppley-Limiteds-Tender-Offer-Jan-24-2023.pdf,24/1/2023 19:19,"Articles,Other Company News",inherit,publish,2023,{document_type: Acquisitions and Disposals},acquisitions_mergers_and_disposals,success,Yes,company_name - symbol - acquisitions_mergers_and_disposals - Posting Date,acquisitions_mergers_and_disposals_new
EPLY,EPPLEY LIMITED,eppley-limited-material-information-disclosure-notice-tender-offer-closure-march-27-2023,https://www.jamstockex.com/wp-content/uploads/2023/03/Eppley-Limited-Material-Information-Disclosure-Notice-Tender-Offer-Closure-March-27-2023.pdf,29/3/2023 10:57,Articles,inherit,publish,2023,{document_type: Acquisitions and Disposals},acquisitions_mergers_and_disposals,success,Yes,company_name - symbol - acquisitions_mergers_and_disposals - Posting Date,acquisitions_mergers_and_disposals_new
EPLY,EPPLEY LIMITED,eppley-buys-stratus-alternative-funds-from-ncb-capital-markets-limited,https://www.jamstockex.com/wp-content/uploads/2025/04/Eppley-buys-Stratus-Alternative-Funds-from-NCB-Capital-Markets-Limited.pdf,17/4/2025 15:48,"Acquisitions,Articles",inherit,publish,2025,{document_type: Acquisitions and Disposals},acquisitions_mergers_and_disposals,success,Yes,company_name - symbol - acquisitions_mergers_and_disposals - Posting Date,acquisitions_mergers_and_disposals_new
FTNA,FONTANA LIMITED,press-release-23jan2025-ftna,https://www.jamstockex.com/wp-content/uploads/2025/01/PRESS-RELEASE-23JAN2025-FTNA.pdf,23/1/2025 12:01,Acquisitions,inherit,publish,2025,{document_type: Acquisitions and Disposals},acquisitions_mergers_and_disposals,success,Yes,company_name - symbol - acquisitions_mergers_and_disposals - Posting Date,acquisitions_mergers_and_disposals_new
GENAC,GENERAL ACCIDENT INSURANCE COMPANY (JA) LIMITED,gaic-september-16-2019-press-release-final,https://www.jamstockex.com/wp-content/uploads/2019/09/GAIC-September-16-2019-Press-Release-FINAL.pdf,17/9/2019 9:12,"Disposals,Articles",inherit,publish,2019,{document_type: Acquisitions and Disposals},acquisitions_mergers_and_disposals,success,Yes,company_name - symbol - acquisitions_mergers_and_disposals - Posting Date,acquisitions_mergers_and_disposals_new
GK,GRACEKENNEDY LIMITED,gracekennedy-release,https://www.jamstockex.com/wp-content/uploads/2016/07/GraceKennedy-Release.pdf,1/7/2016 8:11,Articles,inherit,publish,2016,{document_type: Trading in Shares},trading_in_shares,success,Yes,company_name - symbol - trading_in_shares - Posting Date,trading_in_shares_new
GK,GRACEKENNEDY LIMITED,gracekennedy-shareholders-report-2016-feb-2017,https://www.jamstockex.com/wp-content/uploads/2017/03/GraceKennedy-Shareholders-Report-2016-Feb-2017.pdf,6/3/2017 17:01,"Other Company News,Articles",inherit,publish,2017,{document_type: Annual Report},other_company_news,success,Yes,company_name - symbol - other_company_news - Posting Date,other_company_news_new
GK,GRACEKENNEDY LIMITED,press-release-gracekennedy-limited-divests-30-stake-in-trident-insurance-company,https://www.jamstockex.com/wp-content/uploads/2017/05/Press-Release-GraceKennedy-Limited-Divests-30-Stake-in-Trident-Insurance-Company.pdf,9/5/2017 12:23,Articles,inherit,publish,2017,{document_type: Acquisitions and Disposals},acquisitions_mergers_and_disposals,success,Yes,company_name - symbol - acquisitions_mergers_and_disposals - Posting Date,acquisitions_mergers_and_disposals_new
GK,GRACEKENNEDY LIMITED,press-release-gracekennedy-to-acquire-consumer-brands-ltd,https://www.jamstockex.com/wp-content/uploads/2017/09/Press-Release-GraceKennedy-to-Acquire-Consumer-Brands-Ltd.pdf,1/9/2017 16:32,"Acquisitions,Articles",inherit,publish,2017,{document_type: Acquisitions and Disposals},acquisitions_mergers_and_disposals,success,Yes,company_name - symbol - acquisitions_mergers_and_disposals - Posting Date,acquisitions_mergers_and_disposals_new
GK,GRACEKENNEDY LIMITED,gk-news-release,https://www.jamstockex.com/wp-content/uploads/2018/01/GK-News-Release.pdf,12/1/2018 10:27,"Acquisitions,Articles",inherit,publish,2018,{document_type: Acquisitions and Disposals},acquisitions_mergers_and_disposals,success,Yes,company_name - symbol - acquisitions_mergers_and_disposals - Posting Date,acquisitions_mergers_and_disposals_new
