InstrumentCode,InstrumentName,post_name,guid,post_date,category,post_status,post_status.1,Year,raw_category,document_type,classification_status,Migrate,Naming Convention,Folder_Name
PJAM,PAN JAMAICA GROUP LIMITED,jse-release-pjam-announces-name-change-board-appointments-and-senior-management-changes-2,https://www.jamstockex.com/wp-content/uploads/2023/04/JSE-Release-PJAM-Announces-Name-Change-Board-Appointments-and-Senior-Management-Changes-1-1.pdf,3/4/2023 10:43,"Other Company News,Appointments",inherit,publish,2023,,director_appointments_resignations_and_retirements,pending,Yes,company_name - symbol  - director_appointments_resignations_and_retirements - Posting Date,director_appointments_resignations_and_retirements_new
PJAM,PAN JAMAICA GROUP LIMITED,jse-release-pjam-announces-name-change-board-appointments-and-senior-management-changes-2,https://www.jamstockex.com/wp-content/uploads/2023/04/JSE-Release-PJAM-Announces-Name-Change-Board-Appointments-and-Senior-Management-Changes-1-1.pdf,3/4/2023 10:43,"Other Company News,Appointments",inherit,publish,2023,,management_appointments_resignations_and_retirements,pending,Yes,company_name - symbol   - management_appointments_resignations_and_retirements - Posting Date,management_appointments_resignations_and_retirements_new
RJR,RADIO JAMAICA LIMITED,rjr-gleaner-press-statement-joint-on-delay-of-egms,https://www.jamstockex.com/wp-content/uploads/2015/12/RJR-GLEANER-Press-Statement-Joint-on-Delay-of-EGMs.pdf,4/12/2015 9:18,"General Meetings (AGM’s, Extra-Ordinary or Other Shareholders Meetings),Articles",inherit,publish,2015,,other_company_news,pending,Yes,company_name - symbol - other_company_news - Posting Date,other_company_news_new
RJR,RADIO JAMAICA LIMITED,rjr-gleaner-notice-to-shareholders,https://www.jamstockex.com/wp-content/uploads/2015/12/RJR-GLEANER-Notice-to-Shareholders.pdf,4/12/2015 9:19,"Articles,General Meetings (AGM’s, Extra-Ordinary or Other Shareholders Meetings)",inherit,publish,2015,,general_meetings,pending,Yes,company_name - symbol- general_meetings - Posting Date,general_meetings_new
RJR,RADIO JAMAICA LIMITED,glnr-notice-to-shareholders-on-synergies,https://www.jamstockex.com/wp-content/uploads/2015/12/GLNR-Notice-to-Shareholders-on-Synergies.pdf,11/12/2015 13:35,Articles,inherit,publish,2015,,other_company_news,pending,Yes,company_name - symbol - other_company_news - Posting Date,other_company_news_new
RJR,RADIO JAMAICA LIMITED,glnr-notice-to-shareholders-on-synergies,https://www.jamstockex.com/wp-content/uploads/2015/12/GLNR-Notice-to-Shareholders-on-Synergies.pdf,11/12/2015 13:35,Articles,inherit,publish,2015,,acquisitions_mergers_and_disposals,pending,Yes,company_name - symbol - acquisitions_mergers_and_disposals - Posting Date,acquisitions_mergers_and_disposals_new
RJR,RADIO JAMAICA LIMITED,glnr-notice-to-update-shareholders,https://www.jamstockex.com/wp-content/uploads/2015/12/GLNR-Notice-to-update-Shareholders.pdf,16/12/2015 10:17,Articles,inherit,publish,2015,,acquisitions_mergers_and_disposals,pending,Yes,company_name - symbol - acquisitions_mergers_and_disposals - Posting Date,acquisitions_mergers_and_disposals_new
RJR,RADIO JAMAICA LIMITED,gleaner-media-release-voting-results,https://www.jamstockex.com/wp-content/uploads/2015/12/Gleaner-Media-Release-Voting-results.pdf,31/12/2015 10:03,Articles,inherit,publish,2015,,acquisitions_mergers_and_disposals,pending,Yes,company_name - symbol - acquisitions_mergers_and_disposals - Posting Date,acquisitions_mergers_and_disposals_new
RJR,RADIO JAMAICA LIMITED,rjr-gleaner-court-order,https://www.jamstockex.com/wp-content/uploads/2016/02/RJR-GLEANER-Court-Order.pdf,19/2/2016 8:55,Articles,inherit,publish,2016,,acquisitions_mergers_and_disposals,pending,Yes,company_name - symbol - acquisitions_mergers_and_disposals - Posting Date,acquisitions_mergers_and_disposals_new
RJR,RADIO JAMAICA LIMITED,rjr-appointment-chairman,https://www.jamstockex.com/wp-content/uploads/2019/04/RJR-Appointment-Chairman.pdf,8/4/2019 18:48,"Articles,Appointments",inherit,publish,2019,,management_appointments_resignations_and_retirements,pending,Yes,company_name - symbol   - management_appointments_resignations_and_retirements - Posting Date,management_appointments_resignations_and_retirements_new
RJR,RADIO JAMAICA LIMITED,rjr-appointment-chairman,https://www.jamstockex.com/wp-content/uploads/2019/04/RJR-Appointment-Chairman.pdf,8/4/2019 18:48,"Articles,Appointments",inherit,publish,2019,,director_appointments_resignations_and_retirements,pending,Yes,company_name - symbol  - director_appointments_resignations_and_retirements - Posting Date,director_appointments_resignations_and_retirements_new
RJR,RADIO JAMAICA LIMITED,radio-jamaica-limited-rjrgleaner-group-divests-music-99-fm,https://www.jamstockex.com/wp-content/uploads/2021/04/Radio-Jamaica-Limited-RJRGLEANER-Group-Divests-Music-99-FM.pdf,6/4/2021 12:55,Articles,inherit,publish,2021,,acquisitions_mergers_and_disposals,pending,Yes,company_name - symbol - acquisitions_mergers_and_disposals - Posting Date,acquisitions_mergers_and_disposals_new
